Grams,Size,limit to restaurants?,Matches,Mismatches,Accuracy,1,2,3,4,5
,,,,,,,,,,
Type: SVM,,,,,,,,,,
1,100,no,119,381,0.238,15,4,21,1,459
1,1000,no,118,382,0.236,12,11,5,9,464
1,10000,no,140,360,0.28,25,40,27,24,384
2,100,no,115,385,0.23,12,5,11,3,469
2,1000,no,103,397,0.206,2,1,9,5,483
2,10000,no,101,400,0.201596806,0,0,7,2,492
3,100,no,104,397,0.20758483,0,9,2,489,1
3,1000,no,106,395,0.211576846,0,5,0,7,489
1,100,yes,114,386,0.228,17,9,19,1,454
1,1000,yes,114,386,0.228,4,23,4,33,436
1,10000,yes,136,364,0.272,32,34,16,28,390
,,,,,,,,,,
Type: NB with chi2,,,,,,,,,,
1,100,no,173,327,0.346,149,51,164,98,38
1,1000,no,239,261,0.478,91,106,119,101,83
1,10000,no,257,243,0.514,89,96,115,108,92
2,100,no,175,325,0.35,148,55,145,90,62
2,1000,no,237,263,0.474,111,109,124,74,82
3,100,no,170,330,0.34,170,31,152,84,63
3,1000,no,216,284,0.432,157,126,103,48,66
,,,,,,,,,,
Type: NB without chi2,,,,,,,,,,
1,100,no,181,319,0.362,144,42,191,107,16
1,1000,no,225,275,0.45,110,141,117,85,47
1,10000,no,260,240,0.52,88,125,130,91,66
2,100,no,180,320,0.36,140,24,176,149,11
2,1000,no,216,284,0.432,116,131,124,81,48
3,100,no,187,313,0.374,163,23,187,115,12
3,1000,no,211,289,0.422,146,131,111,77,35
1,100,yes,195,305,0.39,99,60,170,107,64
1,1000,yes,235,265,0.47,109,96,125,80,90
1,10000,yes,266,234,0.532,107,82,109,93,109
2,100,yes,191,309,0.382,85,66,181,76,92
2,1000,yes,248,252,0.496,104,106,118,80,92
3,100,yes,174,326,0.348,86,74,172,94,74
3,1000,yes,231,269,0.462,103,128,106,85,78
,,,,,,,,,,
Type: Tree,,,,,,,,,,
1,100,no,142,358,0.284,89,80,116,95,120
,,,,,,,,,,
Type: Tree with ranking,,,,,,,,,,
1,100,no,89,411,0.178,5,20,0,69,406
1,1000,no,112,388,0.224,25,69,0,0,406
1,10000,no,104,396,0.208,5,89,0,0,406
,,,,,,,,,,
Type: Forest,,,,,,,,,,
1,100,no,145,355,0.29,,,,,
Type: Combined,,,,,,,,,,
1,10000,no,226,274,0.452,67,108,110,73,142
